"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.HighLevel","Answer.LowLevel1","Answer.LowLevel2","Answer.LowLevel3","Answer.LowLevel4","Approve","Reject"
"34D9ZRXCYRHZ6Y8B8ACPFMBH20QASE","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:30 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:57:45 PDT 2018","","","3RGU30DZTBVAVGW48LYILVBFDE4MJH","A18R117CBYN9GN","Rejected","Mon Jul 09 20:05:26 PDT 2018","Mon Jul 09 20:10:57 PDT 2018","Thu Jul 12 20:10:57 PDT 2018","","Thu Jul 12 10:57:45 PDT 2018","The instructions say not to describe icons in the bottom bar.","331","0% (0/6)","0% (0/6)","0% (0/6)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.msnbc.nightlynews-screens/screenshot_1.png","Screen allows user to pick from topics in the news.","Side panel bar opens from the left to topics list.","Lower middle tab allows user to go back home.","Lower left middle tab allows user to go back a screen.","Lower right middle tab allows user to choose between windows.","",""
"3UYRNV2KITMO7XNR3GBPK1VGPDHN8A","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","3","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 13:00:44 PDT 2018","","","3IAEQB9FMF7TX6QQ2RIURVIT6XMDWO","A2WBC2TUEWQ7W9","Rejected","Tue Jul 10 00:04:56 PDT 2018","Tue Jul 10 00:27:17 PDT 2018","Fri Jul 13 00:27:17 PDT 2018","","Thu Jul 12 11:24:45 PDT 2018","High Level caption does not describe the screen's functionality.","1341","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.headboard.ideas.s1-screens/screenshot_4.png","in the right top wifi simple is on.","in the right top below the wifi simple, user can use exit to go previous screen","above the exit option user can use more apps","in the top right , search bar is available","list of headboard ideas shown chose any option to go inside of that option","",""
"3UYRNV2KITMO7XNR3GBPK1VGPDHN8A","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","3","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 13:00:44 PDT 2018","","","3R2UR8A0IB3ZQ3M525SW4880KF9OX6","A1MFR8AR96VI0J","Rejected","Thu Jul 12 13:50:35 PDT 2018","Thu Jul 12 13:55:11 PDT 2018","Sun Jul 15 13:55:11 PDT 2018","","Fri Jul 13 13:00:44 PDT 2018","Most of the low level descriptions do not describe functionality (see the examples in the instructions).","276","76% (119/156)","65% (68/105)","65% (68/105)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.headboard.ideas.s1-screens/screenshot_4.png","This is bed customisation and purchase app or website.","At the top of the screen is an orange title bar and on the left hand side is the title.","On the right hand side of the orange banner is a pop up menu.","Just beneath the orange banner is a grey title banner.","Below the grey title banner are rows of ideas and articles which a user can click on and browse to select and customise as they wish.","",""
"3QI9WAYOGQYYJWW8IXVDZH9V6HZS65","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 20:30:00 PDT 2018","","","3XXU1SWE8NI2R9MTPAY7UZ1JKTE0AJ","A2ZZB9FPELD4J4","Rejected","Tue Jul 10 09:26:42 PDT 2018","Tue Jul 10 09:29:08 PDT 2018","Fri Jul 13 09:29:08 PDT 2018","","Thu Jul 12 20:29:59 PDT 2018","Half of the low level descriptions don't contain spatial references","146","33% (13/39)","33% (13/39)","33% (13/39)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.klonengam.nickiminajprank.calli-screens/screenshot_2.png","Contacts page on a mobile phone","Top of the screen is a space to enter your friends name","The second space below the top is a place to enter the mobile number.","White screen with all different minutes to switch phone to standby","All different selections","",""
"311HQEI8RS3EO8WRWZUD1O6UO7JZ7G","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 09:24:16 PDT 2018","","","3KB8R4ZV1FU4LN269QN6A2859ZDGB0","A22Y27CKGBT89O","Rejected","Wed Jul 11 09:18:07 PDT 2018","Wed Jul 11 09:19:50 PDT 2018","Sat Jul 14 09:19:50 PDT 2018","","Fri Jul 13 09:24:16 PDT 2018","Most of the low level descriptions do not describe functionality (see the examples in the instructions).","103","66% (121/183)","66% (121/183)","66% (121/183)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.microsoft.bing-screens/screenshot_2.png","This is a web browser interface.","A back button is displayed in the top left corner.","The top right corner features a Tab button, and a menu button.","The top center of the frame displays a URL navigation bar.","The entirety of content below the header is a web frame to display content.","x",""
"3TD33TP5DLP0PCR9XOQUPX1HYC4BAE","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:37 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 13:57:10 PDT 2018","","","3SBEHTYCWOQEUM1C961T3PJM9KKIY4","A3UCAJPHZLEO30","Rejected","Wed Jul 11 04:36:25 PDT 2018","Wed Jul 11 04:42:43 PDT 2018","Sat Jul 14 04:42:43 PDT 2018","","Thu Jul 12 13:57:10 PDT 2018","High Level caption does not describe the screen's functionality.","378","27% (7/26)","27% (7/26)","27% (7/26)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.cmc.dms-screens/screenshot_6.png","The screen offers the user with Pixel medial server","Below the pixel media server , the screen offers the user with DMS status off option and wifi status on option to switch accordingly","To the right most top of the screen there are three vertical dots that guides the user appropriately.","Below the DMS STATUS the screen offers the user with DMS NAME box to choose from.","At the bottom of the screen the screen offers the user with storage folder option to choose from.","",""
"371QPA24C2B4RA8Q1ROMEQE00PXT1X","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:23 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 08:42:48 PDT 2018","","","3MX2NQ3YCAHDITGNXQWXV2882TL5XE","A4TH0P4UFF7I7","Approved","Wed Jul 11 08:56:40 PDT 2018","Wed Jul 11 08:58:48 PDT 2018","Sat Jul 14 08:58:48 PDT 2018","Fri Jul 13 09:24:15 PDT 2018","Fri Jul 13 08:42:48 PDT 2018","","128","30% (22/74)","30% (22/74)","30% (22/74)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.coolniks.niksgps-screens/screenshot_4.png","This is that page of an app that looks like you can select different languages","There is a white pop up menu that allows you to select different languages","There is a red and green box of text that you can interact with","There are a few buttons at the bottom that you can interact with","There is a persistent navigation bar at the bottom for the OS","",""
"30P8I9JKOI8ISKDY79QDIYF29QJ5V8","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:23 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 09:24:24 PDT 2018","","","3SPJ033422QAPXLIROMTFQYNN8JJYC","A1USYYS8TPQ31A","Rejected","Thu Jul 12 01:14:28 PDT 2018","Thu Jul 12 01:40:21 PDT 2018","Sun Jul 15 01:40:21 PDT 2018","","Fri Jul 13 09:24:24 PDT 2018","Low level 1 and 2 are not explicit enough in describing functionality.","1553","50% (29/58)","50% (29/58)","50% (29/58)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.xyware.scanner-screens/screenshot_1.png","The screen shows an audio player interface for radio network scanning, with a prominent sleep timer dialog open.","To the top left of the screen is a back arrow button.","To the top right of the screen is an option overflow button.","Towards the top center of the screen is a volume control slider.","In the center of the screen is a dialog box with buttons to decrement and increment the timer, and a slider, presumably to control sleep timer length, and a button to set the timer.","",""
"3UQVX1UPFS4A0MTVMT0QZYM0VKF02A","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:23 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:32:15 PDT 2018","","","39DD6S19JQY2J79V99DLWHUWN9IZEG","A22Y27CKGBT89O","Rejected","Mon Jul 09 15:26:20 PDT 2018","Mon Jul 09 15:29:43 PDT 2018","Thu Jul 12 15:29:43 PDT 2018","","Thu Jul 12 10:32:14 PDT 2018","High level caption describes appearance not functionality","203","66% (121/183)","66% (121/183)","66% (121/183)","http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.kingville.horoscope-screens/screenshot_6.png","This screen displays a popup notification informing user a restart is required to switch languages.","In the center of the screen is a notification dialogue informing the user to switch languages a restart of the app is required.","Below the notification text are buttons to Cancel or Proceed with app reset.","","","x",""
"3OQQD2WO8ITASZ6UUJ31OCRONSW3IJ","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:30 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:57:45 PDT 2018","","","3483FV8BEF680HD4EKL9XISCL34261","A18R117CBYN9GN","Rejected","Mon Jul 09 20:14:29 PDT 2018","Mon Jul 09 20:20:31 PDT 2018","Thu Jul 12 20:20:31 PDT 2018","","Thu Jul 12 10:57:45 PDT 2018","High level description makes no sense; grammar.","362","0% (0/6)","0% (0/6)","0% (0/6)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.primedia.rentals3-screens/screenshot_4.png","Screen is open to an Photo Application  for homes.","A photo not available screen is showing for picture that is missing.","Upper tab bar allows you to switch between images of house shown in application.","Upper bar describes house and it's location.","Menu option on upper right allows you to change photo view to multiple photo view.","",""
