screen show loading screen of macy's,in top of the screen setting option is given for set the app,in top of the screen search option is placed  for searching the data,center of the screen loading option is given for loaded the screen,,
This screen allows the user to set alerts to be reminded of their appointments at specific times prior to said appointments.,The block of text above the selection buttons allows the user to know what the buttons are for, which is to set alerts.,The button directly below 'Set Alert' allows the user to set an alert 5 minutes before their appointment.,The button directly below '5 minutes before' allows the user to set an alert 15 minutes before their appointment.,The button directly below '15 minutes before' allows the user to set an alert 30 minutes before their appointment.,
Screen showing a warning message about CRIC Ad support stopped,The center of the page has a message box about temporary stoppage of the software. there is an OK button in the box user can click it to proceed.,The background of the screen is black,There are no other illustrations in the page,There are no other buttons or links on the page.,
screen shows phonics app speller and sight word option,on the top ledft corner there is a logo which represents the app brand,on the top there is a heading phonics- speller & sight words,on the top right there is a reward option,from top to middle there are 111 speller and sight word options in 3 rows and 4 column,
Screen where the user can edit their photos like aimagiary speaking communication using this photo talks app,At the right of the screen there are option where the user can save, make talk option etc,To add your photo At the bottom there is a icon photo by clicking that user can add their photos,To add the text to your photos, at the bottom there is a Ab text icon symbol by clicking that user can add their own text,To add some emojis or stickers like hearts etc at the bottom there is sticker icon , by clicking that it display various stickers user can select on their need,
screen shows a horizontally information of update,in the middle there are some logo s,in the middle there is a big logo,in the middle there is a update information,on the upper bottom there is a ok button,
Screen to put in email address in order to recover password,In the centre of the screen is a text field where the user inputs their email address,In the top right hand corner, there is a send button which the user can click to send their email address,In the top left hand corner, there is a button that the user can click to take them to the previous screen.,In the red centre of the screen, the red highlighted text reminds the user to put a valid email address,
This screen allows users to input the required fields for register in this applications.,User can provide Nombre -text as input.,User can provide Email -text as input.,User can provide Contrasena -text as input.,User can click on registrate after providing all needing information.,
screen showing controls to create preset fo hearing music.,User can create a preset using the windows at the center. A name for preset can be entered in the field and should click OK or Cancel to continue.,on the  top right there is a button to keep app Switched on or Off. User has to click the slider to select.,At the top part there two large controls side by side to adjust Bass and Treble. User can scroll it control it.,At the bottom also two large buttons kept side by side to adjust volume and balance. user can rotate it to set it.,
the screen displays support page for an user in an application,the user can click on the menus available under support,the user can click on the about label at the top,the user can click on the license label at the top,the user can close the page by clicking on the close icon at the top,
The screen allows user to input personal information to use the application,The blue bar at the top of the white box allows user to enter meeting number, URL or username,black line with your name in the middle of the screen allows user to input their name,A black line at the bottom of the screen allows user to input their email address.,the back arrow button on the top left corner of the white box allows user to go back to the previous screen,
On the screen is a photo editor app.,The first button on the top under the ads is Gallery, it shows your pictures in your phone.,Under gallery is a camera button that allows you to take pictures.,Under camera is a saved photo button to see the saved photos you edited in the app there.,Under saved photo is a share app button, this allows you to share the app with friends or family.,
The front window helps the user to know the airport details.,Behind the front window there shows a portion of the map which shows the direction or routes to different places.,At the top right corner show the filter option which help the user to see a particular information of the map.,Below the screen shows the location list which shows the locations of the map.,The select option in the front window marks a icon on the map which helps to find the route to the airport easily.,
This screen is a display of games application,At the top center there is a label is displayed as swiped down to exit full screen,Below the label there is a link button called ok,At the top left corner a link button called home is displayed,At the right corner some options are displayed,
This screen allows the user to search for an OBD Code.,The user can enter the OBD code in the entry box at the top right of the screen.,Below the entry box, the app displays text about the results of the OBD code search.,At the top left of the screen, the user can click a drop-down menu.,To the right of the entry box, the user can click a search symbol icon to submit the search.,
the user can change the setting in there phone,the user can set alarm on there phone,while setting a alaram ad will apper on screen if you want to view select yes get it or select no,thanks,the user can set a alaram range,the user can set a alaram by day by day as they like,
An app screen with a notification for deleting some calendar tasks.,There are two buttons at the bottom of the prompt, for deleting the tasks and memos specified or canceling the action.,Behind the dialog is a task screen with tasks shown in a list view, with two buttons at the bottom of the screen.,You can use these to delete the task or memo, or edit the text within them.,,
The screen shows user the sign up page of an application,Middle of the screen shows a picture of two middle aged men smiling,Bottom of the screen is a blue button to sign up for free,Bottom of the screen is an orange button to login,Bottom of the screen enables user to skip creating an account now,
allows users to view videos,in landscape perspective the top right trash can button allows users to discard current input,top right button with finger on it allows users to make a detailed selection,top right button with arrow allows users to undo or redo previous interaction,top left video folder allows user to select video,
The online privacy policy for  Cox.com communication,top of the screen is a back button or a close x button for disney XD,below disney is a menu button for cox and a search button for cox.com,below the search box is a drop down navigation menu for cox.com,center of screen is the online privacy policy text for cox communications,
An app screen with search results for fitness locations.,There is a back button and a button for deleting entered text near the top.,You can scroll down a list of search results by business name, address, and distance from your current location.,,,
This screen represent the loading a facebook page.,Begin the loading , in the center of the screen  is a text field where the user inputs their email address,Below the email address is a text field where user inputs a password,Below the text field there is a link the user can recover a password.,In the bottom of the screen there is a link where user can create new account,
A screen where you can add your preferred scenes, it's sideways in the picture,one big '+' (add) button on the top left of the screen,one little redundand '+' button on the top left corner, other 4 buttons on the top right corener, presumably the icons stands for: 'news feed', 'user account', 'help' and 'info','news feed' open window, with a 'clear all' button in the right tird of the screen,Bottom standard android navigation bar with back, home, recents buttons,
screen show home page of the game,in bottom of the screen play option is given for user needs,in bottom of the screen sound option is given for user needs,in bottom of the screen shop option is given for user needs,in bottom of the screen more games option is given for user needs,
screen show ghin home page,in center of the screen ghin number are given for user needs,,,,
Screen where the user can view a  recipes for them AND share, rating, like, or use for cooking.,Below the receipe image and receipe name the user can see how much duration time needed to prepare a receipe is displayed,Below that user can see, the particular receipe can be served to how many peoples using servings,Below that user can see the ingredients needed for receipe and how to prepare them are listed in easy understandig,In the top left hand corner, there is a button that the user can click to take them to the previous screen,
screen shows password getting option of an app,on the top there is a email filling form to enter the email address,on the top there is a heading FORGET PASSWORD,on the upper middle there is a text about  recovering the password,in the upper middle there is a get my password option,
Screen where user can see a pop up message to open the setting.,At the center there is a pop up message.,At the bottom of the pop up message there is button for Open Setting a user can open setting by tapping on it.,bottom is blank,,
The current screen allows user to choose which options to edit for the application,The first blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the background of the application black,The second blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the screen clear by shaking the device,The third blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the line thick,The fourth blue checkmarks at the bottom right corner of the screen allows user to choose either to accept or decline the option of multi-touch,
A sign in screen for Fandangonow, a movie streaming app,center of screen is a field to enter email,below email is a field to enter password,below password is a button for forgot password and a button to sign in,below the sign in button is a button to join fandangovip,
A screen where you can choose colors to fill in the lines on the picture.,At the top of the screen you may choose to share the app and picture.,In the middle of the screen you can select parts of the picture to color between the lines.,Below the picture, you may select different colors to add to the picture or select the button directly above to erase the last selection.,At the bottom of the screen, you can select different levels of gray scale.,
An app screen inviting the user to unlock rewards by inviting friends to use the app.,There is a prompt in the center, and an image above it with a friends username.,At the bottom is a button letting you invite friends to use the app, and a text field where you can enter your friends username to invite them.,,,
screen shows reset password page,in top left corner back option is placed for go to previous,in center of screen there is a text field where the user can input their email,below the text field there is button where user can send email,in top center there is heading for reset password for user known,
Blank black screen of Pixelmon Skin with loading error message,The entire page is grey in color,At the centre there is a message box about error,There are no other illustrations in the page,The top and lower portions are empty,
screen show aaron sanchez for user menu,in top of the screen back option is placed for go previous,in top of the screen setting option is placed for set the menu,in top of the screen edit option is placed for edit the user needs,in top of the screen share option is placed,
The notification message of Ross|dd's is shown in the screen,message box asking the user whether to receive push notifications from Ross|dd's app is shown in the center of the apge,the center of the main page has list of Notifications,the top left has a Filter button next to label Ross|dd's,Search and Refresh buttons are placed at top right side,
The home page of a food delivery app,You can select area by touching the drop down menu on the top left or search food by touching the top right searching button.,Below it is a ad page.,You can close it by touching the white cross or navigate to the corresponding page by touching the white button.,You can choose food by touching the picture of the food.,
This screen displays a sign up page of some application,At the top center a label is displayed known as create an account,Below the label there are several blank options,Each blank field has a red color information appears to fill the required fields,At the bottom right corner of the page there is a link button which can be clicked once you fill the required fields,
This is a profile making page of a cartoonish profile making app.,On the screen where is a image of an individual, located on the top of the screen, below the image where are two black, small icons, one on the left is a camera, one on the right is a file folder.,on the bottom of the screen is a red text saying CARICA.,,,
screen show a set of text about shops,in the center there is a set of text  with icon and description address ordered in row,at top there is a search bar,at top right there is a map button,at top left there is a back button,
Screen where the user can view a scrolling list of recipes for them to share, like, or use for cooking.,In the center of the screen, there is a scrolling list of recipes in two columns,For each recipe, there are buttons under the recipe’s name to like, share, and see how to make the food described by the recipe.,In the top right hand corner, there is a search button that the user can click to begin searching for recipes.,In the top left hand corner, there is a button that the user can click to take them to the previous screen.,
The top left there's an arrow you can use to go back and search other recipes.,The top right you can use the magnifiying glass to search yourself.,Center there's a scrolling list with images of recipes.,Below the images of dishe you can click the heart to favorite the recipe.,At the bottom centered you can go back, home, or look at other windows open.,
screen shows wagi app log in option,on the top there is a heading wagi,on the bottom there is a sign up option,on the bottom there is a log in option,on the bottom there is a version information,
This screen allows user to start playing game by click on play game and also can get more games.,User can start gaming by click on play game button.,User can get more games by click on more games button.,User can give rating by click on rate us.,This screen shows preview of police parking car design in background.,
This screen is a display of cleaning junk files application,At the top left corner there is an arrow link button which can be used to go back to the previous page,Next to the arrow mark there is a label is junk clean,In the middle a pop up is displayed with a label called go sms pro home theme,Two options are displayed in the pop up namely cancel and clean,
screen show Victoria hearts description for understanding the user,in top of the screen terms of use agreement condition is given,in center of the screen acceptances of terms of use agreement,eligibility condition is given for understanding,in bottom of the screen contact us option is given,in bottom of the screen terms of use and privacy policy  option is given,
This is the sign in error message page of an app.,The page displays a white dialog window on the center of the screen.,the information text is black and says Please sign in first, below it is a button with blue text ok.,,,
An app screen for logging into the iPharmacy app.,There is a logo graphic on the top of the screen, and two buttons beneath it near the center.,These let you register for new users or sign in for existing users.,There is also a third button beneath some text describing the cost of registration with the app, that lets you register for the service later.,,
screen shows rating option of  an app trap mix,in the middle there is a heading rate trap mix,in the middle there are some text for rating the app 5 star,in the middle there is a maybe later option on left,in the middle there is a yes rate now option on right,
screen shows clean cache option of an app,on the top ledt corner there is a back button,on the top left there is a language  option,on the upper middle there are some version  info of he app and the devicee,in the middle there is a clean cache option,
screen shows schateen page,in center of the screen there is a text field where the user can input their email,below the text filed another text field where user can input their password,below the password text field there is a login button where user can login,below the login button there is a link where user can retrieve password when they forgot password,
screen shows degree,in top of the screen show williamsburg option,in center of the screen degrees are mentioned for understanding the user,in below the screen wind ,humidity,visibility option are placed  for user needs,in below the screen pressure,uv and sunrise option are placed for user needs,
allows user to select ringtones,Back button on upper left corner to allow user to go back to previous page,search button under back button upper left corner allows user to search for specific ringtones,Edit option in middle of page allows users to edit selected ringtone,assign to contact button on bottom of page allows users to assign ringtone to a specific contact number,
the screen shows the description of the application.,at the top left of the screen there is a button, which takes the user to more option.,at the top right of the screen there is a button, which takes user to the maps.,at the top right corner of the screen there is a button, which the user can select it as important.,at the middle of the screen there is a  button. which takes the user to the next screen.,
Screen showing the user option to subscribe Daily Forecast in wunderground app,Towards the bottom of the screen there is Subsribe button,Above the button there are fields to enter Location and Email of user,There is a loading button in the center of the page,Full Forecast link button is placed above the fields for credentials of user,
Black screen with bottom of camera icon,in the center of the screen there is nothing apart from black screen,in the bottom of screen there is option button,below the option button there is camera button,below the camera button there is three simple dot,
Screen showing fields to enter credentials of the user to Create a New Account in the app.,the center of the screen has a windos to Create new account. there are fields for entering Email and passowords.,At the bottom right of the window there is OK button, after entering the details user can click it to proceed.,Cancel button is placed on the left of the OK button.,The page behind the window has option for the user to log in with Facebook, Twiter, Google or Email address at the bottom region.,
An app screen that shows the logo and name for the CryingBebe app.,There is an image displaying the logo of the CryingBebe app in the center of the screen.,There is also a mono-colored background resembling the app, and a text area above the logo displaying the name of the app.,,,
This page is for registration to Guardzilla,there is a form for account information to register,there is a show password option,there is a back button,there is a sign up button,
An app screen with weather information for Spectrum News 13 and the Central Florida area.,There are six weather blogs and posts shown two-at-a-time.,Each entry has an associated image, text displaying the articles title, its time of posting, and a brief summary as well.,This view can be scrolled vertically to view more entries.,There is also a menu bar at the top with a settings button on the far right, a tool button next to it, and the logo for Spectrum News 13 on the left.,
This screen allows users to sign in or register for the reward program.,The bottom button in the center is for users to enter their information to gain access to the program.,The button right above the bottom button in the center is for users who would like to create an account to have access to the reward program.,In the center of the screen there are pictures with instructions on how the reward program works.,The blue dots in the middle of the screen below the pictures indicate that there are multiple pictures to be viewed for information.,
This app takes a user's image and slims down said person's overall body mass,The left camera indicator near the bottom allows the user to take a photo of themselves for use in the app,The right gallery indicator near the bottom allows the user to take an image out of their gallery for use in the app,The 'My Creation' button at the bottom center, allows users to view previously created works through this app.,The title is indicated near the top at the middle, describing the purpose of the app,
the screen allows the user to choose an action,the user can choose the action by clicking the option,the user can click on menu at the top to view menus,the user can click on search button to search,the user can click on the top menu for more menus,
Screen shows the Menu where user can change their duration,In the center of the screen have two option like play and help button to play or user need any option,Below that user have a new tournament button where user can begin the tournament game,In the top right corner have a icon for two player,Below the new tournament drop down buttons list of game duration and points information given for the user,
Screen which is loading games,In the top screen, user can use instruction,In the centre of the screen, user can change the skin left arrow and right arrow,In the bottom screen, user can apply skin,In the top left hand corner, there is a button that the user can click to take them to the previous screen.,
screen shows different countries of an app,on the top left there is a country usa,from top to bottom there are 17 countries of alphabet a and u,on the bottom there is a cancel option,from top to bottom there are 17 countries of alphabet a and u,
The screen allows the users to choose the Joss & Main Storage products based upon their taste.,The pop-up button in the middle of the screen allows the new users to register with Joss & Main and the existing users can login with their jossandmain account,In the top right corner of the screen there is a bag symbol. When users select the items, those items will be added into this bag or cart. Users can check the item added to the cart by clicking on this icon.,At the bottom left corner of the screen there is a home button. At any moment of the shopping user can go the main page or home page  of the app by simply clicking on this home icon.,At the bottom right corner of the screen there is an account icon where users can click the icon to see and modify the account details.,
sign in to or get started on application,,login with facebook option,create account option,begin meeting other people,
screen shows pics collage where the user can edit the picture,In the top left hand corner, there is a button that the user can click to take them to the previous screen,In the top right of the screen shows the share option where the user can share the collage photos,In the center of the screen shows save changes that the user can save the collage pics,in the bottom of the screen shows 2D options which gives 2D effect for the given photos,
Screen of app search results,At the top there is a text field where the user can type in the app name.,Inside the text field, there is a microphone icon on the far right side for the user to record the input,The space below the text field is devoted to display of search results.,Inside the text field, there is an arrow on the left side that directs the user back to the previous page.,
The page displays 15 princes skins.,Header princess skins is displayed on the top of the page.,on top right cornor theres a share button.,below is a white search bar.,the main background color of the page is a purple.,
The current page displays various female nail decorations.,Each picture box on the page displays a unique nail design.,At the bottom, the images are partially cut off, indicating that the page is scrollable.,Each picture is likely tappable, which could expand the picture to view larger.,The grey background draws the user's attention to the pictures.,
Screen allows the user to compress video to a minimum size.,The middle area is the Video Trimmer app banner.,Below the banner is the app logo, title, company name and rating.,Below the titles on the right side are the uninstall and open button.,Below the uninstall and open button categories and stats in graphic form.,
Screen where the user can view a scrolling list of product,In the center of the screen, there is a scrolling list of product in two columns,In the top of screen display timer bar,tap to timer bar user can view return time,In the top left hand side, there is a button that the user can click to take them to the setting option.,In the bottom center of the screen, there is a scrolling list of replacement  product in two columns,
Screen which displays the users current speed along with the weather and their average speed over time.,In the top left corner of the screen there is a menu button that the user can press to view more options.,In the middle of the screen is a speedometer.,Below the speedometer the user can see the weather and their average speed.,,
Screen displaying downloading link of GO Launcher,There is Download GO Launcher button at the bottom of the screen,Wallpaper pack button is placed below the launcher button,A link I feel Lucky is provided on the corner right above the two buttons,There is a picture Love in the center of the screen,
screen shows color selecting options of an app,on the top left there is a heading digital doily,in the middle there are different color for selection in 3 rows,in the middle right there is a cancel option,on the bottom there are 3 options edit, menu and full screen,
This screen allows the user to scan a barcode of an item and the application will determine the specific item scanned to compare prices amongst different distributors.,The button at the top left of the screen is a menu button to allow the user to navigate the application.,The text next to the menu button describes what the screen is.,The button at the top right of the screen looks like a sun and controls the brightness of the screen.,The image at the bottom right of the screen is a cancel symbol over ADS to symbolize the cancellation of ads.,
Screen shows the message about to sign in to account with email address,In front screen, there is a message where user can provide the email address,Behind the front screen, in the top left corner where user can use to close the sign in screen,In the center of the screen, the user can use to account sign in with facebook,Below that, have a text field where user can enter the email address and password,
This is a list entry page of an app.,the background of the page is yellow.,The top of the page is a text input box with icon + on the right.,the bottom right of the page has a picture of a pen.,,
This screen shows someone trying to log in to a pizza app without inputting their info, and getting an error indicating they must type their email and password to proceed.,Clicking where it says 'got it thanks' in the error box would cause the Heads up! error message to close.,Typing your email where the cursor is located would be the first part in logging in.,If one clicks the keep me signed in square next to the text, they wouldn't have to input their information next time.,Clicking the sign in red box would take them to the next step of ordering pizza if they entered everything correctly.,
screen shows retrieve saved application page where the user can retrieve their application,In the center of the screen there is a text field where the user can input their email id,Below the email address there is a password where the user to input their password,Below the password text field there is a text field to input their application id,In the bottom of the screen shows cancel button where the user can cancel to retrieve saved application,
Screen shows the alert message where user can sign into the bradio,In the front screen of the page, there is a incorrect email where user can alert,Behind the screen, in the top left hand corner, there is a button that the user can click to take them to the previous screen.,Behind the screen, in the center page, is a text field where the user inputs their email address and password,Behind the screen, below the email text field is a link the user can use to recover their email,
This scescr is a display of some fertility treatment application,At the top left corner there is an arrow link button which can be used to go back to the previous page,At the top right corner a link button is displayed as next,In the middle of the screen a pop up is displayed with a label called set date,To the left of set date calendar is displayed,
screen shows privacy policy page for parkchicago,in top left corner back option is placed for go to previous,below the back option there is a menu button where user can view all menu,below the back option there is a privacy policy heading,in center of the screen there is details about privacy policy,
An app screen for a license agreement.,There is a text field displaying license agreement for the Runtopia app in the center, which is scrollable.,There is also an exit button in the top left and an accept button in the top right of the screen.,,,
screen shows for information about monitoring 24 hours of babies,in the middle there are some image block,in the bottom there is a text,on the left bottom side there is a skip option,on the bottom right corner there is a forward option,
Screen where the user must swipe down from the top of the screen to exit full screen,There is a blue button at the top center labeled 'ok' to hide the notification,The left side of the screen shows buttons for Happy Fishing Icons,in the bottom left of the screen there is a thumbs up button,The center orange button is a play button,
screen shows option for setting up a wallpaper,there is a set wallpaper option on the bottom,from top to bottom there is a wallpaper photo which can be setted,from top to bottom there is a wallpaper photo which can be setted,from top to bottom there is a wallpaper photo which can be setted,
The screen notifies users that their device is ready to connect,The red button at the bottom of the screen allows users to move to the next screen,The white hyperlink at the bottom of the screen lets users go back to the previous screen,The text in the middle of the screen lets users know if their bluetooth is turned on,The text in the middle of the screen below the bluetooth information lets users know what operating system their phone runs on,
screen show select a quantity alert message,in top of the screen back option is placed for go previous,in top of the screen cart option is placed for go previous,,,
Home page of Alltrails, a guide to the user for going outdoors,The central portion of the screen has the logo of the firm with details.,Below the log nea to bottom there is message 'initializing trial data' which gives the user status of search,A status button is placed below the data message which shows the user the loading status.,The page is decorated with majestic view of a tourist destination.,
screen shows wiliamsburg app options,on the top left corner there is a back option,on the top there is a heading williamsburg,in the middle there is a create trip option with a bridge image,on the bottom there is a reservations option on left and things to do option on right,
screen of ECG Clinical Cases,in the top of screen there is heading of screen ECG clinical cases,below it there is back button on the screen,below it there is multiple numbers on the screen like 11,12,13,14 upto 20,in the bottom of screen there is next button,
This screen appears to be of an app regarding baby care,At the top of the screen is a main menu icon the user can click to quickly navigate the app,To the right of the main menu button appears to be a 'settings' icon the user can click to change preferences,The top two buttons in the center of the screen appear to be used to navigate to areas of the app corresponding to feeding and changing the baby,The bottom two buttons appear to be used to navigate to areas of the app regarding sleep times and medical checkups,
Add to playlist window remains active in the page of Pulsar app,The center of the page has a small window with options for the user to Add to playlist. New playlist and BlackPlayer Favorites are the two options,The main page has title bar with label Pulsar,there is a filter button on the top left,the top right has search and More icons,
The screen appears to be some sort of sales search application.,To the top of the screen there is a menu bar that allows the user to select from various selection of options.,Beneath the menu bar there is a set of four options that allow the user to narrow down a search.,Beneath the four search options there is a variety of different options that allow the user to narrow down their search even further.,At the bottom of the screen there is a navigational bar that allows the user to go back at home or open another window.,
This is a site in which you choose a wallpaper for your cellphone lock screen,Top left hand side is the app icon along with the app name in plain type text.,Top far right hand corner is a kebob menu icon, the 3 small dots.  Click this in order to access a menu of this website.,The main portion of entire page are photos of different wallpapers that you can choose by clicking on whichever photo you'd prefer.  There are twelve separate photos (3 pictures on 4 different lines of photos.) you can choose from.,,
screen shows selection of different languages of an app,on the top left corner there is a heading called languages,on the top right corner there is a search option,on the bottom there is a done button,in the middle there are 9 language option in a column on left,
Screen where the user is asked if they want to update the app.,In the centre, there is a dialog box which gives information that a new version of all is available.,In the dialog box, on the bottom right, yhere is a button to update the app.,In the dialog box, left to the Update button, there's an option to cancel the operation and close the box.,In the background, there are options to enable LED flash, call reminders, flash notification etc.,
Screen is an overview of users stock portfolio.,Top right aarows next to the + symbol are used to refresh the screen,Below the My Portfolio header is the 'Quotes' section,Below 'quotes' and to the left is the ticker,To the right of the ticker is the price,
Screen showing the help and procedures to register.,In the center of the screen is a image of inumen button.,above the image of inumen button is a first two steps to register.,below the  inumen button is a last steps to register.,in the bottom  is a image describing the last step .,
Screen where the user can view a menu of a multiple games platform from which they can select.,In the center of the screen, there is a scrolling list of buttons each representing a unique game.,For each game, there is a button represented by a round image at the left of the button and it's name in the center.,In the top right hand corner, there are 2 buttons, on for highscores and the second one for a menu.,In the top left hand corner, there is a button that the user can click to show more game options.,
