"Filename","High","Low1","Low2","Low3","Low4","Split"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.doctor.ui-screens/screenshot_4.png","this is a popup notification alerting a user to enter a password","an alert is displayed in the center of the frame","the alert notifies the user to enter a password","a continue button is located at the bottom of the notification box","the active notification is displayed above the grayed out inactive app window","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.remotefairy4-screens/screenshot_4.png","this screen is a welcome page of some application","at the top center there is a label is displayed","the label is displayed as welcome","at the bottom a link button is displayed which can clicked to go to the next page","below the link button another link button is displayed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.alltrails.alltrails-screens/screenshot_1.png","a loading screen for a trail app","the backgroung is a picure of a bridge","slightly above center is the apps logo","below the logo is the apps name and slogan","centered in the lower third is a message informig you that your trail data is being initialized and a loading circle","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.pikasapps.lockscreen2.wallpapers-screens/screenshot_5.png","this screen is where you can choose from different images to make your wallpaper","there are images to scroll through so that you have different options for your wallpaper","the three dots in the top corner are a settings option","each image is different so there are many choices for the wall paper","the small triangle in the top left corner takes you to the previous screen","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/co.peeksoft.stocks-screens/screenshot_5.png","a stock portfolio tab in an investing app","two tab options quotes and holdings","three columns listing the ticker label price and the price change","columns can be sorted by each either the greatest value or the lowest","refesh option at the top of the page","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.developandroid.android.animals-screens/screenshot_4.png","screen to show list of games available to download","in the center of the screen is a list of games available to download","to the right and above the list there is a botton to close the list","in the top right hand corner there is a menu button","to the left of menu button there is a button to rate the application","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mineworld.carsaddon-screens/screenshot_4.png","the screen allows the user to exit the screen","there is a yes icon on the far right where the user can go forward","there is a no icon on the outer right where the user can cancel","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.naing.mp3converter-screens/screenshot_1.png","screen of file explore","in the top of screen there is shown that currently autodesk is open","beside that there is a one option is for create new folder","besides that there is apply button for applying changes","in the center of screen there is folder of sketchbook3","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.dafftin.android.moon_phase-screens/screenshot_3.png","screen shows that neptune detailed information screen","in center of the screen neptune detailed information is given for user understand","in top of the screen back option is given for go back","in top of the screen next option is given for go next","in top of the screen planet information is given for user understand","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.tracfone.tracfone.myaccount-screens/screenshot_3.png","this screen sign into the login in the email","in the center of the screen is a text field where the user inputs their email address","at the middle of the screen is password is available","below the email text field is a link the user can use to recover their email","at the left of the screen is keep me logged in available","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.rsoftr.android.earthquakestracker.add-screens/screenshot_2.png","this screen confirms the users intent to accept the apps privacy policy","the privacy policy link in the center will display information about the policy","the cancel button on the left will decline the policy","the accept button will allow the user to continue using the app","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/tv.ustream.ustream-screens/screenshot_4.png","screen to show a popup message to continue","at the center is a popup message","pop up message has two button user can press to go to other screen","in the popup bottom right has tow button left one for cancel and right one for ok","in the background there is a you tube app","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/tv.ustream.ustream-screens/screenshot_4.png","an app for a security camera viewer open in the background with a box in the forefront explaining that the link will open an external application and if you want","in the background of the message is the app itself with a picture of a camera on a ospreys nest","the camera is paused","it says audobon osprey cam in the background","it shows that there are seven eight hundred nine followers for this cam","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/tv.ustream.ustream-screens/screenshot_4.png","the screen of app showing a message box about continuing in external link","the center of the page contains a message box with a cancel and ok buttons user can continue by clicking either one","a video is paused in the main page","the bottom portion also has a video running","the center of the screen shows a toolbar with share button on the right side","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/me.nextplus.smsfreetext.phonecalls-screens/screenshot_6.png","screen shows login page","in top left corner back option is placed for go to previous","below the back option there is a text field where user can input their email address","below the text field there is another text field where user can input their password","in center of screen there is a login button where user can log in","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.sign.language.learn1234-screens/screenshot_1.png","screen for sign language for beginners where user can learn about sign language","in the top left corner the logo of the application is available","in the top right corner there is a share button for share the course in various social media","next to the share button there is a option button where user can change their settings","in the center of the screen there is a scrolling list of classes","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.infolife.ezweather.widget.transparentweather-screens/screenshot_5.png","screen to find locations application","in the center of the screen is a text field where the user inputs find their locations","on second line give williamsburg location","in the bottom right hand corner there is a delete locations button","in the bottom left hand corner there is a drop down menu that the user can select to edit locations","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.infolife.ezweather.widget.transparentweather-screens/screenshot_5.png","a screen to edit the locations with backward arrow sign","below the is the tap to search","below that is a location williansburg with a green tick sign","at upper left hand side is the sign of bin which allow user to delete the info regarding locations","screen at the bottom is entirely empty","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/nl.martijnvandesande.securitytaser-screens/screenshot_1.png","","touch the lighter body to ignite the lighter","on topmid you can click more apps to find more apps by same developer","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/cartoon.rabbit.bear.dream-screens/screenshot_2.png","screen show cm launcher 3d app installation by using google play store","in top left hand corner there is a button to go to previous screen","in top right corner search button is given to search the required apps","below the search buttion video play button is given where user can see the video about the cm laucher application","in right side of the screen install button is given where user begin to install the app","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.ambientdesign.artrage.oils-screens/screenshot_6.png","app screen appears to be for an art program with brush tools and options","lower middle of app screen shows input for brush options styles etc","center of screen is highlighed by a bush size input","bottom center of app screen shows forward bact etc buttons to manipulate app","top center of app screen shows prompt to purchase app","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/co.findship.FindShip2-screens/screenshot_1.png","screen shows that map","in top left corner of the screen search field is given for search in map","in right corner of the screen location button is placed","in right corner of the screen zoom in button is placed","in right corner of the screen zoom out button is placed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.move.rentals-screens/screenshot_3.png","menu bar at the top left of google map used for changin various map related setting according to user destination requirements","next to menu bar where a text field allows the users to search their destination","voice typing is near to search field for hands free typing","in the bottom details of searched destination is shown","in bottom right there is a button used to set or reset both starting point and destination","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.whisperarts.kids.breastfeeding-screens/screenshot_2.png","this screen is a display of some breastfeeding related application","at the top left corner there is a link button which is the menu link button","next to the link button a label is displayed as breastfeeding","at the top right corner a symbol is displayed","below that few details are displayed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.wunderground.android.weather-screens/screenshot_4.png","screen shows weather report on an app crowd report","there is a back button on the top left corner with heading crowd report","in the middle there is a clear and a overcast option for increasing and decreasing clear and overcast","in the middle there is a text about add hazard report","from middle to top there are seven options which are slippery roads power outage debris flood high surf white out road unplowed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.wunderground.android.weather-screens/screenshot_4.png","screen shows that crowd report page","in top corner back option is placed for go previous","in center of the screen brightness option is placed for bright","in center of the screen add hazard report option is placed","in bottom of the screen road uplowed check box option is placed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.darkhorse.digital-screens/screenshot_5.png","screen displaying the download page of the app with details","the top right of the page has a drop down menu with two items refresh and settings","the bottom of the screen has a download button","the center of the page has description of the sampler","the top left side has a back button","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.a1.HudSeeker-screens/screenshot_1.png","this is a notification screen displaying hud homes","a notification is displayed in the center of the screen","an icon of a house is next to the name of the notification hud homes","a loading symbol appears below the title of the notification","the active notification is displayed above a grayed out inactive app","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.care.android.careview-screens/screenshot_1.png","this is a screen showing a list of options to a user","in the middle of a screen are seven options for the user to choose from when creating their new account","","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.jrummy.root.browserfree-screens/screenshot_6.png","the home page screen with many options","on the top left home icon is seen next to two other buttons labeled storage and emulated","below these folder is shown with options and details in three rows","in the center there is a popup with menus","on the bottom portion there is navigation bar with many navigation buttons","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.jrummy.root.browserfree-screens/screenshot_6.png","a rooted android device allowing the user to view detailed information about the file storage of the device an unrooted device wouldnt otherwise have","the top has a hierarchy showing the file chain the user is in","to the left of the hierarchy is a home button to return to the root folder","a list appears under the hierarchy displaying folders and files","along the bottom of a row of functions that pertain to file storage","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mingle.meetmarket-screens/screenshot_6.png","top where you can click backward button or next","where you put your name","input email address input age","center is error sign to enter your name","where the android buttons are at the button","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/hotspotshield.android.vpn-screens/screenshot_1.png","this screen represent the hotspot shield","the left of the screen corner is menu button is available","the center of the screen is quit option is available","the right of the corner is wifi and time settings is available","the bottom of the screen is back option is available","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.how.to.be.funny.app-screens/screenshot_4.png","this screen allows users to look at the how to be funny application","the top right about button allows users to gain information about the application","the middle star button allows users to rate the application","the middle how to be funny button allows users to click on the application","the bottom our applications button allows users to click on other applications","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.dailybits.foodjournal-screens/screenshot_1.png","screen shows the food info information","there is the name field where user can give their name","in the center of the field there is the calories field where the user can give their calories","below to the calories field there is the fat field where user can enter their fats in grams","in the bottom of the screen there is a field where user can give their protein","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.azarlive.android-screens/screenshot_1.png","screen shows an error message that shows up if azar application installation encounters an error during installation","slightly to the top center of the screen is the azar name and logo followed right below by the app moto","if application installation encounters an error it throws a message as shown","error message box has a clear title installation error and a message explaining the error","user can click ok button to proceed after reading the error message","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.ics.creditcardreader-screens/screenshot_1.png","screen show a grid with some values e one button","at center there is a grid in two columns with internal description","at bottom there is a button and a phone number with description","at bottom there is a phone number with small description","at top there is a title name of page","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/pl.infinzmedia.electricscreenfree-screens/screenshot_2.png","this screen allows user to minimize the all open applications and user can select one application to maximize","user to minimize the all open applications","user can select one application to maximize","user can close the applications from minimize list by swipe side","user can close all the applications","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.keeptruckin.android-screens/screenshot_5.png","screen shows the forgot password link","in the top left hand corner there is a button that the user can click to take them to the previous screen","in the top right side of the screen shows send option that the user can send the password","in the top of the screen shows alert message of the email address that the user to get the password","below the alert message there is a text field that the user can input their email address","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.burgerking.kingfinder-screens/screenshot_4.png","screen show list of menu page","in top of the screen back option is placed for go previous","center of the screen list of dish is given","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/baby.com.BabyBigMouth-screens/screenshot_1.png","the top of the screen is candy and kids cartoon icons","the bottom of the first image is text","at the center is small containers","center image bottom more tex for template","last image repeats to the bottom of three solid balls","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/baby.com.BabyBigMouth-screens/screenshot_1.png","this screen is a display of some babies related application","from top to bottom three labels are displayed","each label has a picture","the first two labels are displayed as baby big mouth one and baby big mouth two","the last label are displayed as baby big mouth three","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.kingville.horoscope-screens/screenshot_4.png","allows users to view their horoscopes","the middle icon shows a loading icon","the text in the middle shows the loading percent","the bottom text shows the current status","the top shaded bar gives the app name","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/au.com.penguinapps.android.beautifulcontractiontimer.app-screens/screenshot_5.png","this screen is a display of settings page of some application","at the top right corner there is a label which is known as contractions","at the top left corner there is a plus mark which can be used to add an item","at the middle of the screen there is a popup displayed with a label called set time","below the label there is a display of minutes and seconds","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/au.com.penguinapps.android.beautifulcontractiontimer.app-screens/screenshot_5.png","screen shows setting time options","there is a logo of clock with heading on the top left corner","on the top right corner there are two options plus and clear all","in the middle there is a setting time options with done button","on the bottom there is a start button","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.lyrebirdstudio.pipcamera-screens/screenshot_4.png","the screen gives the user options for photos","the second icon on the bottom center allows the user to access the camera","the third icon on the bottom allows the user to access a collage","the fourth icon on the bottom allows the user to change the shape","the icon next to shape on the bottom center allows the user to access instasquare","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.burgerking.kingfinder-screens/screenshot_6.png","the screen allows the user to see wallpaper for burger king","the bottom right icon allows the user to see information","","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.google.android.apps.docs-screens/screenshot_3.png","this screen allows the user to create and title a new spreadsheet","the input box allows the user to create a title for the spreadsheet","the button below and to the left of the input cancels the action of creating a spreadsheet","the button below and to the right of the input goes ahead with the spreadsheet creation","the top text box indicates that you are creating a title","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/dstudio.tool.instasave-screens/screenshot_2.png","screen shows instasave app update option","on the top right there is a setting option","on the top there is a heading instasave","in the middle there are some text about the version of the app","in the middle there is a cancel option on left and a update option on right","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.cutegirls.stuffs-screens/screenshot_2.png","screen shows makeup tutorials of an app","on the top left corner there is a back button","on the top there is a search option","on the top right corner there is a microphone option","from top to bottom there are sixteen tutorials in four columns and four rows","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.kingville.horoscope-screens/screenshot_6.png","the screen allows the user to restart the app","the bottom right icon allows the user to hit yes","the bottom left icon allows the user to select no","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.arielvila.comicreader-screens/screenshot_2.png","this screen is a display of settings page of some application","at the top left corner there is a label called settings","below the labels there are three options","the first two options are diabled","the third option is enabled and if you want to select it you can select it you can click on the check box","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.fasterthanmonkeys.iscore-screens/screenshot_3.png","this screen represent the program options","at the top add ons is present","after that on and off option is present","at left corner twittercast and admin website data sharing is available","at below that import and export is present","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/me.nextplus.smsfreetext.phonecalls-screens/screenshot_5.png","this page is signup page","top left corner of the page is backward button is available","top of page is no internet connection error message is available","enter field as first name last name date and email password text field is avaiable","middle of page is agree option is available","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.jcp-screens/screenshot_4.png","browse and purchase product","shop button on bottom of screen to shop inventory","sign in button on bottom of screen to sign in to user account","view bag button to view items user wishes to purchase and complete transaction","search inventory at bottom of screen so user can search for specific items","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.chatews.usa-screens/screenshot_6.png","screen shows terms and policies of an app","on the top left corner there is a back option","on the top left there is a heading terms and policies","from top to bottom there are eight terms and policies in text","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.alibaba.aliexpresshd-screens/screenshot_3.png","screen shows email address alarm","in top of the screen back option is placed for go previous","in center of the screen email first name last name field is placed","in center of the screen password button is placed","in center of the screen read alieexpress free membership agreement check box is placed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.dianxinos.optimizer.duplay-screens/screenshot_1.png","the screen allows the user to stop scanning for viruses","the left center button allows the user to click to stop the scanning","the right center button allows the user to click to continue the scanning","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.colorfeel.mandalas.coloring-screens/screenshot_6.png","","go back button","","color selection to fill drawing","reset button to clear changes made","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.droid.caller.id.phone.number.location-screens/screenshot_3.png","call block list page is shown in the screen","the top right side has a page icon","the back button is placed on the top left side","a plus button is placed below the title bar","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/org.ocbus.riderapp-screens/screenshot_3.png","screen shows account creation information of an app","on the top left corner there is a back button","on the top left there is a heading create account","on the top there is a text heading about orange country transportation authority","from upper middle to bottom there are some text information about the agreement summary of the app","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.infolife.ezweather.widget.ripple2-screens/screenshot_1.png","in the center of the screen is a how to the reset a time partern click the later r reset perposed","below clear the trash from williamsburg","to the right of the printer connected","to the left of the wifi connected","in the bottom left hand corner there is a daily forecast","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.flashalerts.flashalertforallapps-screens/screenshot_2.png","the screen gives the user the battery percentage","there is an icon on the bottom left of the text box that the user can click to cancel","there is an icon at the bottom right of the text box that the user can click to save","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.campmobile.snow-screens/screenshot_2.png","this screen is a login page of some application","in the middle of the screen a label is displayed as snow which is the name of the application","below the application name two link buttons are displayed","the link buttons are displayed as login with facebook and more options","below the link buttons another link button called login is displayed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.microsoft.windowsintune.companyportal-screens/screenshot_6.png","screen of the tab that contains information about legal agreement","near the top there is a brief description in capital letters about the agreement","in the first paragraph in the center there is some useful information regarding third party code","near the middle there is a list of third party codes along with their website addresses","at the top left hand corner there is an arrow button that directs the user back to the previous page","N/A"
