"begin the loading in the center of the screen is a text field where the user inputs their email address","below the email address is a text field where user inputs a password","below the text field there is a link the user can recover a password","in the bottom of the screen there is a link where user can create new account"
"in bottom of the screen play option is given for user needs","in bottom of the screen sound option is given for user needs","in bottom of the screen shop option is given for user needs","in bottom of the screen more games option is given for user needs"
"the top portion of the map shows the different areas in williamsburg va","the second button on the left is the settings button","the plus symbol is to zoom in","the minus symbol is to zoom out"
"on the top there is a email filling form to enter the email address","on the top there is a heading forget password","on the upper middle there is a text about recovering the password","in the upper middle there is a get my password option"
"the top center line allows the user to search for wallpapers","the top right icon allows the user to activate voice search","the top left icon allows the user to go backwards","the list of wallpapers in the center allow the user to make a selection"
"there is an app that is faded out showing a map in the center search bar on top center and option to view as list or map style on the","in then center of the screen there is a popup asking the user a question the first is in large font and in blue","below the blue font question there is a blue line and another extended informational question in black","below the extended question there are two button asking the user to choose from not signing up and signing up"
"the center list allows the user to select a time","the bottom icon in the center allows the user to select cancel and move forward","",""
"the first blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the background of the application black","the second blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the screen clear by shaking the device","the third blue checkmarks at the right corner of the screen allows user to choose either to accept or decline to make the line thick","the fourth blue checkmarks at the bottom right corner of the screen allows user to choose either to accept or decline the option of multi touch"
"at the top of the screen is a invisible bar with an advanced options button on the left hand side","on the right hand side of the invisible bar is a lock screen slider","at the bottom of the screen is a blue bar with three icons evenly spaced","two icons on the bottom blue bar have red active dots next to them"
"there is a feedback button at the top right where the user can click to deliver feedback","there is a magnifying glass at the top right where the user can search","the top left button allows the user go to back","there is an icon at the top left with three lines that allows the user to access the menu"
"center of screen is a field to enter email","below email is a field to enter password","below password is a button for forgot password and a button to sign in","below the sign in button is a button to join fandangovip"
"the top right of the screen has a button to continue to the next screen","the middle of the screen is filled with different coupons the user can chose from like amazon and panera","",""
"at the top of the screen you may choose to share the app and picture","in the middle of the screen you can select parts of the picture to color between the lines","below the picture you may select different colors to add to the picture or select the button directly above to erase the last selection","at the bottom of the screen you can select different levels of gray scale"
"there is a prompt in the center and an image above it with a friends username","at the bottom is a button letting you invite friends to use the app and a text field where you can enter your friends username to invite them","",""
"in top left corner back option is placed for go to previous","in center of screen there is a text field where the user can input their email","below the text field there is button where user can send email","in top center there is heading for reset password for user known"
"the top has a share icon on the right that allows the user to share the information","the top right has a magnifying glass icon where the user can search","the center right has an icon that allows the user to zoom in and out","the center search result allows the user to scroll to gain more information"
"the task bar contains a back button on the left to take the user to the previous screen","below the task bar there are two windows","the first window contains general settings such as the appearance of the application","the second window offers tools to the user in the form of alternative functionality for the application"
"in the middle of the screen to the left there is a button that exits the user from the screen","to the right of the exit button there is a button that takes the user to a new page to upgrade to the pro version of the app","",""
"directly under the chat wallpaper at the bottom of the page is a a bar for downloading the image","directly below the bar is an identical bar to click if you want a pack","",""
"you can select area by touching the drop down menu on the top left or search food by touching the top right searching button","below it is a ad page","you can close it by touching the white cross or navigate to the corresponding page by touching the white button","you can choose food by touching the picture of the food"
"on the screen where is a image of an individual located on the top of the screen below the image where are two black small icons one on the left","on the bottom of the screen is a red text saying carica","",""
"in the center there is a set of text with icon and description address ordered in row","at top there is a search bar","at top right there is a map button","at top left there is a back button"
"the top right you can use the magnifiying glass to search yourself","center theres a scrolling list with images of recipes","below the images of dishe you can click the heart to favorite the recipe","at the bottom centered you can go back home or look at other windows open"
"on the top there is a heading wagi","on the bottom there is a sign up option","on the bottom there is a log in option","on the bottom there is a version information"
"top center is a text field to enter users email or mobile phone number","bottom center is a button to start sign in process","",""
"the page displays a white dialog window on the center of the screen","the information text is black and says please sign in first below it is a button with blue text ok","",""
"the top left is a back arrow that allows the user to return to the previous screen","the top button is the currant version of the app that users car keep up with","the second is the privacy policy in which the user can read and learn about the app","the top of the page inform the user of which app they are using"
"the top right icon allows the user to select next to move forward","the top left icon allows the user to skip the screen","the bottom dots in the center allow the user to swipe to the other screen",""
"the bottom button lets the user close out of the page","","",""
"there is a logo graphic on the top of the screen and two buttons beneath it near the center","these let you register for new users or sign in for existing users","there is also a third button beneath some text describing the cost of registration with the app that lets you register for the service later",""
"in the top left hand corner is a back button for the user to click on","under the blue title banner is a large orange selectable button for the user to click on","on the right of the orange button is a new button","under the orange button is the outline for another puzzle button but this appears to be locked due to the locked symbol on the right"
"in center of the screen there is a text field where the user can input their email","below the text filed another text field where user can input their password","below the password text field there is a login button where user can login","below the login button there is a link where user can retrieve password when they forgot password"
"the bottom right button allows the user to sign up","the bottom left button allows the user to log in","the bottom two dots in the center allows the user to swipe to the next screen",""
"back button on upper left corner to allow user to go back to previous page","search button under back button upper left corner allows user to search for specific ringtones","edit option in middle of page allows users to edit selected ringtone","assign to contact button on bottom of page allows users to assign ringtone to a specific contact number"
"at the top left of the screen there is a button which takes the user to more option","at the top right of the screen there is a button which takes user to the maps","at the top right corner of the screen there is a button which the user can select it as important","at the middle of the screen there is a button which takes the user to the next screen"
"there first line in the center allows the user to enter their address","the line below the address line allows the user to enter their apartment number","the bottom right icon allows the user to continue and proceed","below the later icon is an icon that allows the user to enter the date"
"the center list allows the user to look at the added list","the top left arrow allows the user to move backwards","",""
"there is an image displaying the logo of the cryingbebe app in the center of the screen","there is also a mono colored background resembling the app and a text area above the logo displaying the name of the app","",""
"top center is text save the deals we make it so easy","center of screen is icon of a phone mobisave app on phone","center bottom are four radio buttons first button selected different screen under each button","rest of screen is blank"
"there is a form for account information to register","there is a show password option","there is a back button","there is a sign up button"
"the background displays an artistic render of a beauty magazine for teens","a for parents button is displayed in the top left corner","a large play button is located in the lower middle right side of the screen","a row of icons is displayed along the bottom edge on the bottom left are info and cart along the right corner are volume and more games icons"
"there are six weather blogs and posts shown two at a time","each entry has an associated image text displaying the articles title its time of posting and a brief summary as well","this view can be scrolled vertically to view more entries","there is also a menu bar at the top with a settings button on the far right a tool button next to it and the logo for spectrum news thirteen"
"at the top center of the screen theres a button that the user can press to set a certain wallpaper","under the set wallpaper button theres another button to change the live wallpapers settings","in the left center of the screen theres a button that the user can press to view other apps that are already installed on the users phone","at the bottom of the screen theres a variety of recommended applications on play store that the user might be interested to install"
"on the top left corner there is a plus option","on the top right there is a reward and a menu option","in the middle there are some text about the privacy policy of the app with heading privacy policy","in the middle there is a ok button"
"the top left arrow allows the user to go back to the previous screen","","",""
"at the top left is a button to return to the previous screen","at center is a 3x4 array of images for the user to select","below the image array is a bar with text that displays to the user the number of images selected","to the right of the selection text is a button for the user to confirm the image selection"
"there is a line on the first row for the user to add their full name","the next line allows the user to add their email","the line after that allows the user to add their password","the blue lettering in the center on the bottom allows the user to signup"
"the middle of the screen has various ringtones for the user to click and listen to","the top right has a menu and share button for the user to select","",""
"the user can choose the action by clicking the option","the user can click on menu at the top to view menus","the user can click on search button to search","the user can click on the top menu for more menus"
"there is a done button at the top right to save the edited photo","in the middle of the screen there is a photo which can be edited","in the bottom there are tools to edit the photo","in the bottom of the screen to the left there is an arrow button to advance to the previous screen"
"in the center of the screen is a text field where the user inputs their email address","below that email text field there is a password text field where user can enter a password of email address","below the password text field have a login button where user can enter in to the account","near to the register option have a forgot id where the user can use to recover their email"
"the screen is filled with a selection of languages for the user to select and a button on the bottom to submit it","","",""
"a popup in the center of the screen contains a list of buttons for selecting the type of fitness device the user is using","at the top of the popup is text indicating that the selection below is for the type of fitness device the user is using","at the bottom right of the popup is a cancel button that will close the popup without making a selection",""
"the popup button in the middle of the screen allows the new users to register with joss and main and the existing users can login with their jossandmain account","in the top right corner of the screen there is a bag symbol when users select the items those items will be added into this bag or cart users can","at the bottom left corner of the screen there is a home button at any moment of the shopping user can go the main page or home page of the","at the bottom right corner of the screen there is an account icon where users can click the icon to see and modify the account details"
"the first empty field can be filled with email","the second blank field is used to enter the password","the log in button is used to enter the website","login with facebook button is used to login to the website using facebook"
"on the upper left hand corner is a link for parents to click on","in the center of the screen is a play button to take users to the game","on the bottom right is a button to take users to other games","on the bottom of the screen is a shopping cart icon for purchasing add ons"
"on the top there is a heading welcome to receipt hog","in the middle there are some text information about the receipt hog app with a image above","on the bottom there is a okay got it option","on the bottom there is a option for log in for already account holder"
"","login with facebook option","create account option","begin meeting other people"
"in the top left hand corner there is a button that the user can click to take them to the previous screen","in the top right of the screen shows the share option where the user can share the collage photos","in the center of the screen shows save changes that the user can save the collage pics","in the bottom of the screen shows 2d options which gives 2d effect for the given photos"
"the middle of the screen has text fields for the user to input the email addressa and password","under the text fields are buttons either log in or sig up for the app","",""
"header princess skins is displayed on the top of the page","on top right corner theres a share button","below is a white search bar","the main background color of the page is a purple"
"each picture box on the page displays a unique nail design","at the bottom the images are partially cut off indicating that the page is scrollable","each picture is likely tappable which could expand the picture to view larger","the gray background draws the users attention to the pictures"
"you are able the favorite words or phrase by clicking the heart in the upper right corner","the options button is in the upper right corner","the clock button displays your history","by clicking the middle button you can reverse languages and translation"
"in the center of the screen there is a scrolling list of product in two columns","in the top of screen display timer bar tap to timer bar user can view return time","in the top left hand side there is a button that the user can click to take them to the setting option","in the bottom center of the screen there is a scrolling list of replacement product in two columns"
"in the top left corner of the screen there is a menu button that the user can press to view more options","in the middle of the screen is a speedometer","below the speedometer the user can see the weather and their average speed",""
"there is download go launcher button at the bottom of the screen","wallpaper pack button is placed below the launcher button","a link i feel lucky is provided on the corner right above the two buttons","there is a picture love in the center of the screen"
"on the top left there is a heading digital doily","in the middle there are different color for selection in three rows","in the middle right there is a cancel option","on the bottom there are three options edit menu and full screen"
"the button at the top left of the screen is a menu button to allow the user to navigate the application","the text next to the menu button describes what the screen is","the button at the top right of the screen looks like a sun and controls the brightness of the screen","the image at the bottom right of the screen is a cancel symbol over ads to symbolize the cancellation of ads"
"in front screen there is a message where user can provide the email address","behind the front screen in the top left corner where user can use to close the sign in screen","in the center of the screen the user can use to account sign in with facebook","below that have a text field where user can enter the email address and password"
"the background of the page is yellow","the top of the page is a text input box with icon plus on the right","the bottom right of the page has a picture of a pen",""
"in the center is a dialogue box asking the user if they want to quit the test","to the far right of the dialogue box is a button to confirm that the user does want to quit the test","to the left of the yes button is a button to resume taking the test",""
"the top right of the screen has a drop menu that has other settings items","under the heading sign in is a space for users to input their email","under the email bar is a place for users to input their passwords to gain access to the app","at the bottom of the screen is an arrow that lets the user navigate through the app either backwards or forwards"
"the upper quarter of the screen is coloured blue and includes a mic icon which might be selectable","in the bottom left hand corner is a mic button which might be clickable","just right of the mic button at the bottom is a blue button allowing the user to get more effects","in the center of the screen is a loading pop out box with a cancel button at the bottom"
"the center right icon allows the user to print","there is a search bar in the center","next to the search bar in the center is a search icon","the top left has an arrow that the user can click to go backwards"
"the top left has a link to go back to a previous page","underneath the supported ships header there is a live link most likely leading to a live video feed","each cruise ship listed has a picture and some information including the name and ports that it visits","the list is scroll able and there are more ships to look through below the two shown"
"at the top of the screen there is a menu bar with buttons to cast the media to the tv to star the article to connect to social media and","below the menu bar at the top of the screen there is a photo of two women in a car","in the middle of the screen is a menu bar with buttons to go back to star the story to connect to social media and to adjust text size","below the menu bar in the middle of the screen there is the text of a news story"
"backside of the message box there is a close button where the user can click and close the login page","in the top of the screen shows text field where the user to input their email address","below the email there is a password text field where the user to input their password","below the password there is a link where the user can retrieve the email password"
"in the front screen of the page there is a incorrect email where user can alert","behind the screen in the top left hand corner there is a button that the user can click to take them to the previous screen","behind the screen in the center page is a text field where the user inputs their email address and password","behind the screen below the email text field is a link the user can use to recover their email"
"at the top left corner there is an arrow link button which can be used to go back to the previous page","at the top right corner a link button is displayed as next","in the middle of the screen a popup is displayed with a label called set date","to the left of set date calender is displayed"
"in top left corner back option is placed for go to previous","below the back option there is a menu button where user can view all menu","below the back option there is a privacy policy heading","in center of the screen there is details about privacy policy"
"in the center of the screen is a popup box with a text box where the user can enter the email address associated with their account","below is a button to submit the email address to begin the recovery process","below is a button to cancel password recovery and close the window",""
"in the middle there are some image block","in the bottom there is a text","on the left bottom side there is a skip option","on the bottom right corner there is a forward option"
"in the bottom center on the left there is a button to delete the photo","in the bottom center on the right there is a button to share the photo with people","",""
"in the middle a black gray and white box appears stating to enter a password with a continue button","in the bottom middle sign up now appears in black letters allowing users to sign up for access to the application","in the bottom middle above sign up now is forgot password allowing users to retrieve a lost password","in the middle a white and green log in button appears for users to access the application"
"the red button at the bottom of the screen allows users to move to the next screen","the white hyperlink at the bottom of the screen lets users go back to the previous screen","the text in the middle of the screen lets users know if their bluetooth is turned on","the text in the middle of the screen below the bluetooth information lets users know what operating system their phone runs on"
"in top of the screen back option is placed for go previous","in top of the screen cart option is placed for go previous","",""
"the central portion of the screen has the logo of the firm with details","below the log near to bottom there is message initializing trial data which gives the user status of search","a status button is placed below the data message which shows the user the loading status","the page is decorated with majestic view of a tourist destination"
"on the top left corner there is a back option","on the top there is a heading williamsburg","in the middle there is a create trip option with a bridge image","on the bottom there is a reservations option on left and things to do option on right"
"a dialog in the middle of the screen contains a list of sorting options","when an option in the dialog is selected the content in the application will be sorted according to its strategy","",""
"in the top of screen there is heading of screen ecg clinical cases","below it there is back button on the screen","below it there is multiple numbers on the screen like eleven twelve thirteen fourteen up to twenty","in the bottom of screen there is next button"
"in the center of screen is a list of privacy policy","in the bottom is button to log in to beakerapps","in the top right hand corner is a button to go back to previous page","in the bottom is a menu bar"
"at the top of the screen is a main menu icon the user can click to quickly navigate the app","to the right of the main menu button appears to be a settings icon the user can click to change preferences","the top two buttons in the center of the screen appear to be used to navigate to areas of the app corresponding to feeding and changing the baby","the bottom two buttons appear to be used to navigate to areas of the app regarding sleep times and medical checkups"
"the top button allows the user to submit their own font","under the button the screen shows different font apps for the user to select","",""
"the top right icon allows the user to follow the user","the icon to the left of the follow icon allows the user to send a message","the bottom center icon allows the user to select to play",""
"to the top of the screen there is a menu bar that allows the user to select from various selection of options","beneath the menu bar there is a set of four options that allow the user to narrow down a search","beneath the four search options there is a variety of different options that allow the user to narrow down their search even further","at the bottom of the screen there is a navigational bar that allows the user to go back at home or open another window"
"the first column in the center allows the user to select the hour","the second column in the center allows the user to select the minutes","the bottom center icon allows the user to select done and move forward","the third column in the center allows the user to indicate time of day"
"top left hand side is the app icon along with the app name in plain type text","top far right hand corner is a kebab menu icon the three small dots click this in order to access a menu of this website","the main portion of entire page are photos of different wallpapers that you can choose by clicking on whichever photo you would prefer there are twelve separate photos three pictures",""
"on the top left corner there is a heading called languages","on the top right corner there is a search option","on the bottom there is a done button","in the middle there are nine language option in a column on left"
"the top left of the screen contains a button to return to the previous screen","the top right of the screen contains a search button and beside that an information button","the top center of the screen contains a folder button for accessing alternate storage","beneath the storage button is an unsorted list of videos stored on the device"
"at the top right corner there is a menu button for users to see menu items","at the top right there is a share button for users to share the information on the screen","near the top right there is a menu item that users can click to get information on the app","in the body there is a list of items related to the worst presidents communication links"
"the three bars in the upper left corner allow the user to view the menu","below the menu bar is a text field where the user can enter his or her name","the text field below the enter your name field is where the user enters his or her address","the text field below the enter your email address field is where the user enters any comments he or she may have"
"in the center there is a dialog box which gives information that a new version of all is available","in the dialog box on the bottom right there is a button to update the app","in the dialog box left to the update button theres an option to cancel the operation and close the box","in the background there are options to enable led flash call reminders flash notification etc"
